spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
vehicles,moderately engaging environment,increased observation,positive,202103_114.0968224_22.6314363.png
greenery,visual interest,exploration,positive,202103_114.0968224_22.6314363.png
sky,monotonous atmosphere,disengagement,negative,202103_114.0968224_22.6314363.png
road,repetitive layout,limited engagement,negative,202103_114.0968224_22.6314363.png
trees,lack of engagement,avoidance of the area,negative,202103_114.0970567909583_22.7181553287723.png
buildings,monotonous impression,disinterest in exploration,negative,202103_114.0970567909583_22.7181553287723.png
traffic,stress and distraction,hurry to leave,negative,202103_114.0970567909583_22.7181553287723.png
sky,gloomy atmosphere,desire to seek shelter,negative,202103_114.0970567909583_22.7181553287723.png
trees,moderate interest,passive observation,neutral,202103_114.097324_22.7009943.png
overpass,functional busy environment,limited engagement,negative,202103_114.097324_22.7009943.png
roads,lack of fascination,boredom,negative,202103_114.097324_22.7009943.png
signage,informative but uninteresting,brief glance,negative,202103_114.097324_22.7009943.png
cars,busy atmosphere,transitory movement,neutral,202103_114.097324_22.7009943.png
trees,engagement potential,attraction to nature,positive,202103_114.0974749_22.5565291.png
buildings,mundane impression,disengagement from surroundings,negative,202103_114.0974749_22.5565291.png
traffic,stress and distraction,avoidance of the area,negative,202103_114.0974749_22.5565291.png
sky,sense of openness,momentary appreciation,neutral,202103_114.0974749_22.5565291.png
bushes,moderately engaging view,preventing extreme boredom,positive,202103_114.097968_22.712889199999996.png
trees,moderately engaging view,preventing extreme boredom,positive,202103_114.097968_22.712889199999996.png
highway,unique urban element,enhancing visual interest,positive,202103_114.097968_22.712889199999996.png
vehicles,moderately engaging view,preventing extreme boredom,positive,202103_114.097968_22.712889199999996.png
sky,moderately engaging view,preventing extreme boredom,positive,202103_114.097968_22.712889199999996.png
trees,holds attention,engages with surroundings,positive,202103_114.0993904_22.720913200000002.png
walls,provides detail,encourages exploration,positive,202103_114.0993904_22.720913200000002.png
buildings,not overly stimulating,prevents boredom,positive,202103_114.0993904_22.720913200000002.png
crossings,offers visual interest,promotes movement,positive,202103_114.0993904_22.720913200000002.png
architecture,moderately fascinating,exploration,positive,202103_114.10049030000002_22.551953199999996.png
greenery,enhanced visual interest,lingering,positive,202103_114.10049030000002_22.551953199999996.png
traffic,limiting captivation,avoidance,negative,202103_114.10049030000002_22.551953199999996.png
infrastructure,restrictive environment,disengagement,negative,202103_114.10049030000002_22.551953199999996.png
trees,mild interest,minimal engagement,neutral,202103_114.0993432_22.561568599999998.png
buildings,functional activity,lack of fascination,negative,202103_114.0993432_22.561568599999998.png
traffic,boredom,disengagement,negative,202103_114.0993432_22.561568599999998.png
infrastructure,low fascination,avoid boredom,negative,202103_114.0988453_22.704682299999998.png
trees,background presence,limited engagement,negative,202103_114.0988453_22.704682299999998.png
traffic,functional environment,lack of interest,negative,202103_114.0988453_22.704682299999998.png
buildings,uninspiring,disengagement,negative,202103_114.0988453_22.704682299999998.png
trees,visual interest,exploration,positive,202103_114.1017348_22.5586412.png
walkway,fascination,engagement,positive,202103_114.1017348_22.5586412.png
traffic,distraction,avoidance,negative,202103_114.1017348_22.5586412.png
vehicles,some visual interest,engagement with surroundings,positive,202103_114.1102391_22.621661899999992.png
road,monotonous,disengagement,negative,202103_114.1102391_22.621661899999992.png
infrastructure,lack of fascination,reduced exploration,negative,202103_114.1102391_22.621661899999992.png
buildings,limited fascination,boredom possibility,negative,202103_114.1039115_22.5822323.png
trees,limited fascination,boredom possibility,negative,202103_114.1039115_22.5822323.png
environment,busy impression,distraction,negative,202103_114.1039115_22.5822323.png
traffic,overwhelmed feeling,avoidance,negative,202103_114.1039115_22.5822323.png
construction,disruption,avoidance,negative,202103_114.1039115_22.5822323.png
buildings,moderate visual interest,exploration,positive,202103_114.1124009_22.5851513.png
traffic,limited fascination,avoidance,negative,202103_114.1124009_22.5851513.png
greenery,enhanced fascination,engagement,positive,202103_114.1124009_22.5851513.png
road,repetitive nature,disengagement,negative,202103_114.1124009_22.5851513.png
greenery,moderate fascination,draw attention,positive,202103_114.1169143_22.600235199999997.png
overpass,interest,engagement,positive,202103_114.1169143_22.600235199999997.png
architecture,visual appeal,attraction,positive,202103_114.1169143_22.600235199999997.png
streetscape,routine familiarity,limited engagement,negative,202103_114.1169143_22.600235199999997.png
buildings,limited sense of novelty,reduced engagement,negative,202103_114.1113791_22.6142769.png
traffic,busy atmosphere,functional navigation,neutral,202103_114.1113791_22.6142769.png
skyscrapers,contrast appreciation,momentary interest,positive,202103_114.1113791_22.6142769.png
density,overwhelmed feeling,withdrawal from engagement,negative,202103_114.1113791_22.6142769.png
trees,limited fascination,disengagement,negative,202103_114.11892340000001_22.630858799999995.png
vegetation,limited fascination,disengagement,negative,202103_114.11892340000001_22.630858799999995.png
construction,ongoing development,disengagement,negative,202103_114.11892340000001_22.630858799999995.png
infrastructure,detracted allure,disengagement,negative,202103_114.11892340000001_22.630858799999995.png
power lines,detracted allure,disengagement,negative,202103_114.11892340000001_22.630858799999995.png
streetscape,degree of fascination,drawing attention,positive,202103_114.1198452_22.5910835.png
sky,prevailing sense of chaos,limited engagement,negative,202103_114.1198452_22.5910835.png
storefronts,moderate visual interest,exploration,neutral,202103_114.1205663_22.568866200000002.png
architecture,limited fascination,passive observation,negative,202103_114.1205663_22.568866200000002.png
traffic,distraction,avoidance,negative,202103_114.1205663_22.568866200000002.png
infrastructure,limited fascination,lack of engagement,negative,202103_114.1218828_22.596607.png
buildings,functional impression,minimal exploration,negative,202103_114.1218828_22.596607.png
cars,commonplace view,no inspiration,negative,202103_114.1218828_22.596607.png
streetlights,ordinary environment,lack of curiosity,negative,202103_114.1218828_22.596607.png
architecture,moderate fascination,exploration,neutral,202103_114.1217117_22.6624626.png
traffic,active environment,movement,neutral,202103_114.1217117_22.6624626.png
greenery,captivating presence,relaxation,positive,202103_114.1217117_22.6624626.png
trees,calmness and organization,appreciating nature,positive,202103_114.12190805793112_22.627928023917203.png
road,visual interest,engaging in outdoor activities,positive,202103_114.12190805793112_22.627928023917203.png
buildings,sense of activity,social interaction,neutral,202103_114.12190805793112_22.627928023917203.png
sunlight,fascination,exploring the environment,positive,202103_114.12190805793112_22.627928023917203.png
vehicles,engaged attention,preventing boredom,positive,202103_114.12194611798485_22.565742371359875.png
architecture,moderate fascination,curiosity,positive,202103_114.12194611798485_22.565742371359875.png
signage,interest,increased awareness,positive,202103_114.12194611798485_22.565742371359875.png
greenery,refreshing contrast,seeking tranquility,positive,202103_114.12194611798485_22.565742371359875.png
bus stop,dynamic environment,social interaction,positive,202103_114.12194611798485_22.565742371359875.png
traffic,mild fascination,curiosity,positive,202103_114.1224915_22.7001825.png
buildings,limited captivating power,disengagement,negative,202103_114.1224915_22.7001825.png
signs,some visual interest,attention,positive,202103_114.1224915_22.7001825.png
advertisements,typical city street,indifference,negative,202103_114.1224915_22.7001825.png
bushes,degree of fascination,engagement with space,positive,202103_114.1227501_22.5559666.png
trees,degree of fascination,engagement with space,positive,202103_114.1227501_22.5559666.png
buildings,visual interest,exploration,positive,202103_114.1227501_22.5559666.png
environment,somewhat mundane,limited engagement,negative,202103_114.1227501_22.5559666.png
roads,sense of routine,limited exploration,negative,202103_114.1244425_22.603198499999994.png
vehicles,lack of engagement,minimal interaction,negative,202103_114.1244425_22.603198499999994.png
buildings,utilitarian impression,avoidance of prolonged stay,negative,202103_114.1244425_22.603198499999994.png
sky,overcast mood,diminished curiosity,negative,202103_114.1244425_22.603198499999994.png
traffic lights,sense of order,following routine,neutral,202103_114.1244425_22.603198499999994.png
crosswalks,structured environment,compliance with rules,neutral,202103_114.1244425_22.603198499999994.png
cars,static presence,lack of engagement,negative,202103_114.1244425_22.603198499999994.png
trees,moderate fascination,exploration,positive,202103_114.1248786_22.577026099999998.png
buildings,less engaging experience,disengagement,negative,202103_114.1248786_22.577026099999998.png
cars,some visual interest,brief observation,neutral,202103_114.1248786_22.577026099999998.png
sky,less captivating,reduced engagement,negative,202103_114.1248786_22.577026099999998.png
trees,mild fascination,visual interest,positive,202103_114.1284662_22.625145700000004.png
vehicles,functional impression,pass through,neutral,202103_114.1284662_22.625145700000004.png
buildings,functional impression,pass through,neutral,202103_114.1284662_22.625145700000004.png
architecture,limited captivating power,difficult to engage,negative,202103_114.1264201_22.6351297.png
greenery,some visual interest,observe surroundings,neutral,202103_114.1264201_22.6351297.png
sky,overcast mood,feel bored,negative,202103_114.1264201_22.6351297.png
appearance,sterile feeling,lack of engagement,negative,202103_114.1264201_22.6351297.png
vehicles,mild interest,short attention span,neutral,202103_114.1329303_22.616122899999997.png
buildings,lack of wonder,disengagement,negative,202103_114.1329303_22.616122899999997.png
greenery,slight captivation,brief observation,positive,202103_114.1329303_22.616122899999997.png
buildings,moderate visual interest,short engagement,neutral,202103_114.1331601_22.550479200000005.png
greenery,slight attraction,brief attention,positive,202103_114.1331601_22.550479200000005.png
street,typical urban impression,lack of prolonged engagement,negative,202103_114.1331601_22.550479200000005.png
traffic,overwhelmed,avoidance,negative,202103_114.13746860000002_22.716279900000004.png
trees,distraction,limited engagement,negative,202103_114.13746860000002_22.716279900000004.png
buildings,functional,pass through,neutral,202103_114.13746860000002_22.716279900000004.png
trees,sense of engagement,increased social interaction,positive,202103_114.13607955712085_22.56019460406232.png
architecture,interest,exploration of surroundings,positive,202103_114.13607955712085_22.56019460406232.png
signage,vibrancy,attraction to shops,positive,202103_114.13607955712085_22.56019460406232.png
street life,engagement,participation in activities,positive,202103_114.13607955712085_22.56019460406232.png
traffic,moderate fascination,draw attention,neutral,202103_114.1367157_22.698665399999992.png
buildings,repetitive nature,limit engagement,negative,202103_114.1367157_22.698665399999992.png
greenery,lack of uniqueness,reduce captivation,negative,202103_114.1367157_22.698665399999992.png
advertisements,draw attention,increase awareness,positive,202103_114.1367157_22.698665399999992.png
concrete,enclosed and repetitive,lack of engagement,negative,202103_114.1378067_22.6029624.png
traffic,less serene atmosphere,avoidance of the area,negative,202103_114.1378067_22.6029624.png
banners,limited visual interest,minimal exploration,negative,202103_114.1378067_22.6029624.png
greenery,slight enhancement of environment,brief attention,neutral,202103_114.1378067_22.6029624.png
buildings,functional environment,low engagement,negative,202103_114.1462658_22.620422699999995.png
construction,lack of interest,avoidance,negative,202103_114.1462658_22.620422699999995.png
vehicles,chaotic atmosphere,distraction,negative,202103_114.1462658_22.620422699999995.png
posters,some vibrancy,brief curiosity,neutral,202103_114.1462658_22.620422699999995.png
trees,some visual interest,engagement with nature,positive,202103_114.2034661_22.7108026.png
buildings,limited captivating qualities,potential boredom,negative,202103_114.2034661_22.7108026.png
traffic,urban monotony,distraction avoidance,negative,202103_114.2034661_22.7108026.png
sky,enhanced openness,increased relaxation,positive,202103_114.2034661_22.7108026.png
trees,mildly captivating,engagement with nature,positive,202103_114.150446_22.640353499999996.png
infrastructure,limits fascination,distraction from surroundings,negative,202103_114.150446_22.640353499999996.png
road,detracts attention,reduced focus,negative,202103_114.150446_22.640353499999996.png
advertisements,moderately engaging,capture attention,positive,202103_114.2052193_22.662703799999996.png
vehicles,moderately engaging,capture attention,positive,202103_114.2052193_22.662703799999996.png
buildings,limited fascination,prevent boredom,negative,202103_114.2052193_22.662703799999996.png
road,repetitive nature,prevent fascination,negative,202103_114.2052193_22.662703799999996.png
barriers,repetitive nature,prevent fascination,negative,202103_114.2052193_22.662703799999996.png
tunnel,monotonous environment,prevent boredom,negative,202103_114.21034396837918_22.675777386849283.png
design,little sustained interest,capture attention,negative,202103_114.21034396837918_22.675777386849283.png
lighting,difficult to engage,draw attention,negative,202103_114.21034396837918_22.675777386849283.png
buildings,limited fascination,increased likelihood of boredom,negative,202103_114.2110935_22.721982699999998.png
greenery,subdued atmosphere,difficulty in drawing attention,negative,202103_114.2110935_22.721982699999998.png
sky,lack of interest,reduced engagement,negative,202103_114.2110935_22.721982699999998.png
structures,repetitive nature,diminished curiosity,negative,202103_114.2110935_22.721982699999998.png
foliage,visual interest,exploration,positive,202103_114.2151047_22.555198599999997.png
architecture,contrast appreciation,engagement,positive,202103_114.2151047_22.555198599999997.png
road,dynamism,movement,positive,202103_114.2151047_22.555198599999997.png
sky,gloominess,withdrawal,negative,202103_114.2151047_22.555198599999997.png
barriers,restriction,avoidance,negative,202103_114.2151047_22.555198599999997.png
vehicles,congestion,hesitation,negative,202103_114.2151047_22.555198599999997.png
trees,some visual interest,attraction to nature,positive,202103_114.2173882_22.6723256.png
concrete,detracted fascination,disengagement from surroundings,negative,202103_114.2173882_22.6723256.png
construction,mundane atmosphere,lack of exploration,negative,202103_114.2173882_22.6723256.png
traffic,low activity,reduced social interaction,negative,202103_114.2173882_22.6723256.png
sky,cloudy mood,decreased engagement,negative,202103_114.2173882_22.6723256.png
buildings,functional urban space,limited engagement,negative,202103_114.21793862646713_22.67803233370238.png
trees,some visual interest,temporary fascination,neutral,202103_114.21793862646713_22.67803233370238.png
roads,limited fascination,prevent boredom,negative,202103_114.21793862646713_22.67803233370238.png
vehicles,functional impression,reduce engagement,negative,202103_114.21793862646713_22.67803233370238.png
greenery,visual appeal,encourage exploration,positive,202103_114.21793862646713_22.67803233370238.png
buildings,everyday urban life,limited attention,neutral,202103_114.2190778_22.674972899999997.png
traffic,functional but unengaging,minimal interaction,negative,202103_114.2190778_22.674972899999997.png
greenery,moderate fascination,occasional observation,neutral,202103_114.2190778_22.674972899999997.png
pedestrians,ordinary presence,transitory engagement,neutral,202103_114.2190778_22.674972899999997.png
trees,visual interest,engagement with surroundings,positive,202103_114.2242245_22.5554874.png
buildings,stimulation,exploration of space,positive,202103_114.2242245_22.5554874.png
traffic,dynamic environment,interaction with urban life,neutral,202103_114.2242245_22.5554874.png
trees,limited intrigue,lack of engagement,negative,202103_114.2214132_22.722237199999995.png
buildings,functional environment,reduced contemplation,negative,202103_114.2214132_22.722237199999995.png
vehicles,distraction,diminished focus,negative,202103_114.2214132_22.722237199999995.png
highways,monotonous impression,disengagement,negative,202103_114.2240115_22.690695.png
cranes,monotonous impression,disengagement,negative,202103_114.2240115_22.690695.png
vehicles,monotonous impression,disengagement,negative,202103_114.2240115_22.690695.png
green,slight contrast,mild engagement,positive,202103_114.2240115_22.690695.png
street,initial fascination,capturing attention,positive,202103_114.2203088_22.750533599999997.png
signage,visual overload,distracted engagement,negative,202103_114.2203088_22.750533599999997.png
wires,sense of disorder,decreased interest,negative,202103_114.2203088_22.750533599999997.png
barriers,disruption,avoidance behavior,negative,202103_114.2203088_22.750533599999997.png
activity,dynamic environment,exploration,positive,202103_114.2203088_22.750533599999997.png
street,moderate fascination,hold attention,neutral,202103_114.22602540000001_22.734684800000004.png
architecture,visual interest,engage with surroundings,positive,202103_114.22602540000001_22.734684800000004.png
traffic,dynamic environment,navigate through space,neutral,202103_114.22602540000001_22.734684800000004.png
greenery,calming effect,seek relaxation,positive,202103_114.22602540000001_22.734684800000004.png
buildings,sense of place,explore area,positive,202103_114.22602540000001_22.734684800000004.png
trees,limited engagement,lack of exploration,negative,202103_114.2271675_22.554679599999993.png
concrete,overwhelming monotony,avoidance of interaction,negative,202103_114.2271675_22.554679599999993.png
traffic,distraction,increased stress,negative,202103_114.2271675_22.554679599999993.png
trees,visual interest,engagement with surroundings,positive,202103_114.2296563_22.5597124.png
bus,curiosity,exploration of campus,positive,202103_114.2296563_22.5597124.png
activity,dynamic environment,social interaction,positive,202103_114.2296563_22.5597124.png
architecture,aesthetic appreciation,visual exploration,positive,202103_114.2296563_22.5597124.png
shops,interest,shopping or browsing,positive,202103_114.2296563_22.5597124.png
signs,orientation,navigation,positive,202103_114.2296563_22.5597124.png
trees,limited fascination,evokes boredom,negative,202103_114.23182215334009_22.704274352362827.png
buildings,visual interest,engagement,neutral,202103_114.23182215334009_22.704274352362827.png
traffic,lack of fascination,distraction,negative,202103_114.23182215334009_22.704274352362827.png
signage,no strong sense of fascination,indifference,negative,202103_114.23182215334009_22.704274352362827.png
trees,moderate fascination,exploration,positive,202103_114.23225276413545_22.67973649026038.png
canal,visual interest,relaxation,positive,202103_114.23225276413545_22.67973649026038.png
buildings,limited fascination,disengagement,negative,202103_114.23225276413545_22.67973649026038.png
vehicles,detracted interest,avoidance,negative,202103_114.23225276413545_22.67973649026038.png
industrial,lack of charm,disinterest,negative,202103_114.23225276413545_22.67973649026038.png
tree,captivating nature,engagement with surroundings,positive,202103_114.2358123_22.728261600000003.png
buildings,visual interest,exploration of the area,positive,202103_114.2358123_22.728261600000003.png
greenery,dynamic scene,increased activity,positive,202103_114.2358123_22.728261600000003.png
roads,organized environment,navigation through space,positive,202103_114.2358123_22.728261600000003.png
greenery,visual interest,exploration,positive,202103_114.24886032892263_22.70519218145229.png
buildings,generic urban feel,disengagement,negative,202103_114.24886032892263_22.70519218145229.png
streetscape,limited fascination,lack of interaction,negative,202103_114.24886032892263_22.70519218145229.png
buildings,functional urban environment,limited curiosity,negative,202103_114.2422502421771_22.56227045019431.png
containers,lack of fascination,disinterest,negative,202103_114.2422502421771_22.56227045019431.png
trees,minimal visual interest,reduced engagement,negative,202103_114.2422502421771_22.56227045019431.png
traffic,overwhelming presence,avoidance,negative,202103_114.2422502421771_22.56227045019431.png
traffic,overwhelmed,avoidance,negative,202103_114.2406577_22.724981399999997.png
buildings,fascination,exploration,positive,202103_114.2406577_22.724981399999997.png
infrastructure,overwhelmed,withdrawal,negative,202103_114.2406577_22.724981399999997.png
environment,lacking interest,disengagement,negative,202103_114.2406577_22.724981399999997.png
natural,fascination,attraction,positive,202103_114.2406577_22.724981399999997.png
trees,visual interest,exploration,positive,202103_114.25011483600086_22.740615131287942.png
landscaping,fascination,engagement,positive,202103_114.25011483600086_22.740615131287942.png
road,limited fascination,disengagement,negative,202103_114.25011483600086_22.740615131287942.png
buildings,visual interest,observation,neutral,202103_114.25011483600086_22.740615131287942.png
roads,boredom,lack of exploration,negative,202103_114.2520585_22.746504299999998.png
buildings,lack of fascination,disengagement,negative,202103_114.2520585_22.746504299999998.png
greenery,minimal interest,limited interaction,neutral,202103_114.2520585_22.746504299999998.png
trees,limited visual interest,potential for boredom,negative,202103_114.2549302_22.743100399999996.png
buildings,overwhelming dominance,lack of engagement,negative,202103_114.2549302_22.743100399999996.png
roads,constrained attention,distraction from details,negative,202103_114.2549302_22.743100399999996.png
vehicles,chaotic environment,increased stress,negative,202103_114.2549302_22.743100399999996.png
vehicles,lack of engagement,avoidance,negative,202103_114.2580832_22.585963900000003.png
billboards,disinterest,distraction,negative,202103_114.2580832_22.585963900000003.png
fencing,confinement,withdrawal,negative,202103_114.2580832_22.585963900000003.png
sky,gloominess,despondency,negative,202103_114.2580832_22.585963900000003.png
road,neglect,disengagement,negative,202103_114.2580832_22.585963900000003.png
construction,disruption,avoidance,negative,202103_114.2580832_22.585963900000003.png
skyscrapers,moderate fascination,visual interest,positive,202103_114.2578653_22.7203272.png
intersection,limited engagement,difficulty in attention,negative,202103_114.2578653_22.7203272.png
buildings,repetitive nature,hard to be bored,neutral,202103_114.2578653_22.7203272.png
buildings,limited sense of wonder,reduced exploration,negative,202103_114.26684914823393_22.71538867852579.png
barriers,feeling of confinement,avoidance of the area,negative,202103_114.26684914823393_22.71538867852579.png
trees,moderate visual interest,brief engagement,neutral,202103_114.26684914823393_22.71538867852579.png
cranes,functional development impression,limited curiosity,negative,202103_114.26684914823393_22.71538867852579.png
traffic,busy environment,hurry through space,negative,202103_114.26684914823393_22.71538867852579.png
street,limited attention,boredom,negative,202103_114.2781623_22.7481021.png
buildings,functional impression,engaging observation,negative,202103_114.2781623_22.7481021.png
vehicles,busy environment,distraction,negative,202103_114.2781623_22.7481021.png
barriers,detraction from fascination,avoidance,negative,202103_114.2781623_22.7481021.png
traffic,overwhelm,withdrawal,negative,202103_114.2781623_22.7481021.png
traffic,functional impression,limited attention,negative,202103_114.2679897_22.7206134.png
greenery,slight contribution to interest,mild engagement,positive,202103_114.2679897_22.7206134.png
sky,slight enhancement of appeal,momentary distraction,positive,202103_114.2679897_22.7206134.png
buildings,visual interest,curiosity,neutral,202103_114.2679897_22.7206134.png
trees,moderate fascination,exploration,positive,202103_114.2694299_22.7328135.png
buildings,limited attention,boredom,negative,202103_114.2694299_22.7328135.png
road,limited capacity,disengagement,negative,202103_114.2694299_22.7328135.png
shop signs,visual interest,curiosity,positive,202103_114.2694299_22.7328135.png
pedestrian presence,some engagement,social interaction,positive,202103_114.2694299_22.7328135.png
traffic,sense of busyness,increased distraction,negative,202103_114.2739153_22.588342099999995.png
buildings,functional cityscape,lack of engagement,negative,202103_114.2739153_22.588342099999995.png
greenery,occasional intrigue,brief attention,neutral,202103_114.2739153_22.588342099999995.png
port,distant industrial feel,minimal curiosity,negative,202103_114.2739153_22.588342099999995.png
intersection,functional urban infrastructure,lack of prolonged fascination,negative,202103_114.28479693246106_22.742720822742406.png
buildings,lack of unique features,reduced engagement,negative,202103_114.28479693246106_22.742720822742406.png
greenery,moderate appeal,temporary interest,neutral,202103_114.28479693246106_22.742720822742406.png
traffic,overwhelming activity,distraction from surroundings,negative,202103_114.28479693246106_22.742720822742406.png
traffic,lack of focus,avoidance of engagement,negative,202103_114.2818492_22.7280577.png
construction,sense of chaos,distraction from surroundings,negative,202103_114.2818492_22.7280577.png
buildings,monotony,disinterest in exploration,negative,202103_114.2818492_22.7280577.png
traffic,busy environment,limited exploration,negative,202103_114.2850759_22.7272031.png
buildings,functional city,lack of engagement,negative,202103_114.2850759_22.7272031.png
greenery,positive contribution,momentary relief,positive,202103_114.2850759_22.7272031.png
sky,uplifting atmosphere,temporary enjoyment,positive,202103_114.2850759_22.7272031.png
barriers,detraction from fascination,avoidance of area,negative,202103_114.2850759_22.7272031.png
development,ongoing change,curiosity about future,neutral,202103_114.2850759_22.7272031.png
road,functional experience,transit use,negative,202103_114.29001_22.6113186.png
vegetation,visual interest,exploration,positive,202103_114.29001_22.6113186.png
equipment,distraction,avoidance,negative,202103_114.29001_22.6113186.png
trees,some visual interest,engage with surroundings,positive,202103_114.2927359_22.730804699999997.png
cars,reduces allure,avoid the area,negative,202103_114.2927359_22.730804699999997.png
buildings,somewhat mundane,lack of exploration,negative,202103_114.2927359_22.730804699999997.png
sky,some visual interest,appreciate nature,positive,202103_114.2927359_22.730804699999997.png
construction,reduces allure,avoid the area,negative,202103_114.2927359_22.730804699999997.png
trees,moderate fascination,engagement with environment,positive,202108_114.21894076622645_22.63182816908474.png
buildings,some visual interest,preventing boredom,positive,202108_114.21894076622645_22.63182816908474.png
road markings,some visual interest,preventing boredom,positive,202108_114.21894076622645_22.63182816908474.png
natural elements,lack of richness,diminished engagement,negative,202108_114.21894076622645_22.63182816908474.png
patterns,lack of complexity,diminished engagement,negative,202108_114.21894076622645_22.63182816908474.png
architecture,some visual interest,engagement with surroundings,positive,202103_114.29401012603901_22.73801630608966.png
cars,lack of captivating features,boredom,negative,202103_114.29401012603901_22.73801630608966.png
elements,functional scene,minimal exploration,negative,202103_114.29401012603901_22.73801630608966.png
trees,vibrant atmosphere,exploration,positive,202103_114.30650090000002_22.600766799999995.png
sunlight,uplifted mood,social interaction,positive,202103_114.30650090000002_22.600766799999995.png
sign,curiosity,navigation,positive,202103_114.30650090000002_22.600766799999995.png
buildings,interest,exploration,positive,202103_114.30650090000002_22.600766799999995.png
highway,limited engagement,lack of exploration,negative,202111_113.8737497_22.832217000000004.png
traffic,detracted interest,distraction from surroundings,negative,202111_113.8737497_22.832217000000004.png
trees,background presence,minimal interaction,negative,202111_113.8737497_22.832217000000004.png
sky,lack of dynamism,reduced attention,negative,202111_113.8737497_22.832217000000004.png
trees,engagement,exploration,positive,202201_114.2731717_22.634134700000004.png
mural,visual interest,attraction,positive,202201_114.2731717_22.634134700000004.png
pathways,curiosity,wandering,positive,202201_114.2731717_22.634134700000004.png
signs,guidance,navigation,positive,202201_114.2731717_22.634134700000004.png
center,comfort,resting,positive,202201_114.2731717_22.634134700000004.png
shops,limited fascination,minimal exploration,negative,202112_114.34117390815733_22.7026478475379.png
buildings,lack of engagement,reduced curiosity,negative,202112_114.34117390815733_22.7026478475379.png
vehicles,slight interest,brief observation,neutral,202112_114.34117390815733_22.7026478475379.png
signs,diminished intrigue,limited interaction,negative,202112_114.34117390815733_22.7026478475379.png
buildings,functional density,lack of engagement,negative,202201_114.2807160931571_22.746562319789387.png
trees,minimal interest,short attention span,negative,202201_114.2807160931571_22.746562319789387.png
cars,urban monotony,disinterest,negative,202201_114.2807160931571_22.746562319789387.png
wires,visual clutter,avoidance of engagement,negative,202201_114.2807160931571_22.746562319789387.png
trees,minor distraction,preventing boredom,neutral,202202_113.8003438_22.765188499999997.png
architecture,lack of fascination,limited engagement,negative,202202_113.8003438_22.765188499999997.png
street,general busyness,offers minor distractions,neutral,202202_113.8003438_22.765188499999997.png
nature,visual interest,exploration,positive,202202_113.8507515_22.815353899999995.png
structures,lack of fascination,boredom,negative,202202_113.8507515_22.815353899999995.png
motorcycles,moderate interest,engagement,neutral,202202_113.87826978307895_22.812386755821436.png
buildings,limited attention,boredom,negative,202202_113.87826978307895_22.812386755821436.png
trees,visual interest,exploration,positive,202202_113.87826978307895_22.812386755821436.png
trees,boredom,lack of engagement,negative,202202_113.96642646682037_22.611635078505937.png
architecture,functional feel,limited exploration,negative,202202_113.96642646682037_22.611635078505937.png
roads,lack of stimulation,disinterest,negative,202202_113.96642646682037_22.611635078505937.png
bicycles,moderate fascination,engagement in daily activities,positive,202202_113.90250819161481_22.798201494461292.png
buildings,captured attention,observation of urban life,positive,202202_113.90250819161481_22.798201494461292.png
architecture,limited engagement,disinterest in surroundings,negative,202202_113.90250819161481_22.798201494461292.png
nature,lack of connection,reduced exploration,negative,202202_113.90250819161481_22.798201494461292.png
buildings,lack of fascination,limited exploration,negative,202202_113.92040679807957_22.523559341736707.png
traffic,overwhelmed by busyness,avoidance of engagement,negative,202202_113.92040679807957_22.523559341736707.png
trees,moderate interest,occasional observation,neutral,202202_113.92040679807957_22.523559341736707.png
shops,sense of engagement,incidental observation,positive,202203_113.8021443_22.735354999999995.png
vehicles,sense of activity,preventing boredom,positive,202203_113.8021443_22.735354999999995.png
bicycles,sense of community,encouraging interaction,positive,202203_113.8021443_22.735354999999995.png
signage,visual interest,attracting attention,positive,202203_113.8021443_22.735354999999995.png
architecture,aesthetic appreciation,exploring surroundings,positive,202203_113.8021443_22.735354999999995.png
trees,moderate fascination,some visual interest,positive,202203_113.8044636404817_22.67523148030025.png
building,lack of immersion,prolonged engagement avoidance,negative,202203_113.8044636404817_22.67523148030025.png
streetscape,not captivating,distraction from worries,negative,202203_113.8044636404817_22.67523148030025.png
shops,added interest,encouragement to explore,positive,202203_113.8044636404817_22.67523148030025.png
street,engaging atmosphere,exploration,positive,202203_113.8828955708783_22.57293924034783.png
vehicles,busy environment,social interaction,positive,202203_113.8828955708783_22.57293924034783.png
trees,calming presence,relaxation,positive,202203_113.8828955708783_22.57293924034783.png
shops,curiosity,shopping,positive,202203_113.8828955708783_22.57293924034783.png
carts,dynamic activity,engagement with vendors,positive,202203_113.8828955708783_22.57293924034783.png
sunlight,moderately captivating scene,draw attention,positive,202203_113.90067206584965_22.5678543452375.png
trees,level of interest,prevent boredom,positive,202203_113.90067206584965_22.5678543452375.png
architecture,visually interesting,engage with surroundings,positive,202203_113.90067206584965_22.5678543452375.png
vehicles,dynamic environment,observe movement,positive,202203_113.90067206584965_22.5678543452375.png
trees,limited fascination,lack of engagement,negative,202207_113.7899513_22.7557094.png
concrete,overwhelming environment,avoidance of space,negative,202207_113.7899513_22.7557094.png
traffic,stress and distraction,increased urgency,negative,202207_113.7899513_22.7557094.png
overpasses,sense of confinement,disinterest in exploration,negative,202207_113.7899513_22.7557094.png
shops,engaging environment,capturing attention,positive,202203_113.91176155987927_22.577002831060557.png
